"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"CSS131110:092949+152714","2013/11/10","","","09:29:48.79,09:29:48.72","+15:27:14.2,+15:27:14.4","0.08","Ia","5","1",""
"CSS131225:052305-080228","2013/12/25","","","05:23:04.94,05:23:04.944","-08:02:27.7,-08:02:27.744","0.045","Ia","5","1",""
"CSS140427:222246+192845","2014/04/27","","","22:22:46.07,22:22:46.08","+19:28:45.4,+19:28:45.5,+19:28:45.48","0.06","Ia","5","1",""
"LSQ14wp","2014/02/17","","","10:14:05.71,10:14:05.76","+06:40:30.3,+06:40:31.188","0.07","Ia","5","1",""
"PS1-13czp","2013/06/16","19.48","","16:09:16.16,16:09:16.15","+11:58:27.0,+11:58:26.9","0.064","Ia","5","1",""
"PTF11qmo","2011/11/22","17.6","2MASX J10064866-0741124","10:06:49.76,10:06:49.68","-07:41:12.3","0.055","Ia","5","3",""
"SN2013bp","2013/04/15","","A121904+4224","12:19:04.88,12:19:04.8,12:19:05","+42:24:53.9,+42:24:53.89,+42:24:53.8,+42:24:54","0.076","Ia","5","1",""
"SSS120814:221352-124146","2011/08/29","","","22:13:51.84","-12:41:45.6","0.08","Ia","5","1",""
"ASASSN-15al","2015/01/04","17.01","GALEXASC J045749.46-213526.3","04:57:49.630,04:57:49.63,04:57:49.632","-21:35:34.11,-21:35:34.1,-21:35:34.08","0.03","Ia","5","1",""
"PS15cwz","2015/11/17","17.89","PGC 72684","23:52:09.61","-29:04:44.6","0.039","Ia","5","1",""
"PS15wu","2015/02/23","19.15","","13:23:16.66,13:23:16.65","-28:49:51.5,-28:49:51.7","0.06","Ia","5","1",""
"PS16g","2016/01/01","19.59","","01:26:15.01,01:26:15.00","+06:28:21.58,+06:28:21.5","0.05","Ia","5","1",""
"SN2016cmq","2016/05/21","18.78","2MASX J12243888+0754483","12:24:38.86,12:24:38.860,12:24:38.85","+07:54:47.84,+07:54:47.8","0.074,0.074","Ia","5","1",""
"SN2016dsy","2016/02/22","18.41","","06:46:41.30,06:46:41.33,06:46:41.28","-45:07:04.50,-45:07:04.6,-45:07:04.44","0.055","Ia","5","1",""
"SN2016eho","2016/07/20","18.26","","23:43:42.40,23:43:42.443,23:43:42.48","-72:15:53.20,-72:15:53.28","0.07,0.07","Ia","5","1",""
"SN2016ehv","2016/07/19","18.12","","21:05:03.90,21:05:03.923,21:05:03.84","-72:53:15.10,-72:53:15.15,-72:53:15","0.07,0.07","Ia","5","1",""
"SN2016eif","2016/07/22","18.06","","03:01:48.90,03:01:48.929,03:01:48.936","-57:02:09.40,-57:02:09.38,-57:02:09.24","0.07,0.07","Ia","5","1",""
"SN2016eij","2016/07/24","18.12","","04:03:16.70,04:03:16.700,04:03:16.704","-54:35:50.00,-54:35:49.92","0.075,0.075","Ia","5","1",""
"SN2016em","2016/01/13","18.13","KUG 0114+326","01:17:25.13,01:17:25.12","+32:55:16.91,+32:55:16.9,+32:55:17.0","0.037,0.037","Ia","5","1",""
"SN2016emk","2016/07/29","18.78","","06:03:42.90,06:03:42.890,06:03:42.888","-35:44:07.20,-35:44:07.16,-35:44:07.08","0.08,0.08","Ia","5","1",""
"SN2016gmg","2016/09/23","18.15","2MASX J21234100+3307075","21:23:41.85,21:23:41.850,21:23:41.76","+33:06:52.56,+33:06:52.92","0.049,0.049,0.049","Ia","5","1",""
"SN2016iuz","2016/12/11","17.64","SBS 1030+573N","10:33:53.10,10:33:53.106,10:33:53.04","+57:03:51.77,+57:03:51.84","0.0483,0.0483","Ia","5","1",""
"SN2016iwv","2016/12/16","18.31","","10:37:22.39,10:37:22.389,10:37:22.32","+25:52:36.26,+25:52:36.12","0.051,0.051","Ia","5","1",""
"SN2016ixf","2016/12/17","18.14","","10:39:44.56,10:39:44.558,10:39:44.64","+15:02:04.78,+15:02:04.92","0.068,0.068","Ia","5","1",""
"SN2016za","2016/01/29","16.9","2MASX J11303364-4233359","11:30:33.73,11:30:33.84","-42:33:31.44,-42:33:31.4,-42:33:31.32","0.034067,0.034067,0.034067","Ia","5","1",""
"SN2017aaa","2017/01/30","19.93","LCRS B134713.8-024957","13:49:49.15,13:49:49.150,13:49:49.14","-03:04:48.09,-03:04:48.0","0.047,0.047","Ia","5","1",""
"SN2017jr","2017/01/14","18.74","","08:33:49.82,08:33:49.824,08:33:49.92","-25:02:24.58,-25:02:24.57,-25:02:24.72","0.06,0.06","Ia","5","1",""
"SN2017zv","2017/01/30","19.54","LCRS B114229.6-112428","11:45:02.67,11:45:02.670,11:45:02.66","-11:41:05.83,-11:41:05.8","0.076,0.076","Ia","5","1",""
"SN2003P","2003/01/23","18","MCG +09-13-107","08:01:15.63,08:01:15.638","+55:44:34.8,+55:44:34.80,+55:44:34.89","0.033793","Ia","4","1",""
"SN2003V","2003/01/16","18.2","APMUKS(BJ) B030310.79-013550.9","03:05:43.05,03:05:43.058","-01:24:12.8,-01:24:12.82,-01:24:12.89","0.045001","Ia","4","1",""
"CSS131211:084339+161038","2013/12/11","","","08:43:39.30,08:43:39.36","+16:10:38.1,+16:10:38.0,+16:10:37.92","0.069","Ia","4","1",""
"CSS131224:020446-000718","2013/12/24","","","02:04:46.41,02:04:46.416","-00:07:18.4,-00:07:18.444","0.08","Ia","4","1",""
"CSS140628:164427+285658","2014/06/28","","","16:44:27.0,16:44:27.40,16:44:27.36,16:44:27","+28:56:58,+28:56:57.8,+28:56:57.84","0.053,0.058","Ia","4","1",""
"Gaia14abz","2014/10/26","18.56","SDSS 123766143592464","13:37:00.80,13:37:00.72,13:37:0.8","+46:57:40.5,+46:57:38.16,+46:57:38","0.059","Ia","4","1",""
"iPTF13dkx","2013/09/14","17.2","","01:20:53.14,01:20:53.11","+03:20:23.7","0.03","Ia","4","1",""
"iPTF13dud","2013/10/22","18.88","","23:43:55.75,23:43:55.76","+27:20:33.0,+27:20:32.7,+27:20:32.9","0.06","Ia","4","1",""
"LSQ13czk","2013/11/14","18.74","APMUKS(BJ) B043433.30-280211.4","04:36:33.85,04:36:33.87","-27:56:11.0,-27:56:10.8","0.06","Ia","4","1",""
"LSQ14kp","2014/01/28","17.62","","12:10:11.32,12:10:11.29","-22:10:41.8,-22:10:41.5","0.03","Ia","4","1",""
"LSQ14q","2014/01/02","18.33","","08:53:57.58,08:53:57.61","+17:19:38.0,+17:19:37.7","0.067","Ia","4","1",""
"LSQ14zz","2014/02/26","18.54","2MASX J12570030-1554464","12:57:00.19","-15:54:04.0,-15:54:45.5,-15:54:45.4","0.05","Ia","4","1",""
"MLS131126:024306+163425","2013/11/26","","","02:43:06.17,02:43:06.168","+16:34:25.2,+16:34:25.32","0.07","Ia","4","1",""
"PS1-14vx","2014/03/25","18.72","","10:41:51.41","+16:49:01.0,+16:49:01.1","0.057","Ia","4","1",""
"SN2012ad","2012/01/26","","A063845+6720","06:38:45.07,06:38:45.072","+67:20:22.4,+67:20:22.42,+67:20:22.56","0.064","Ia","4","1",""
"SN2012bs","2012/03/28","","A152301+0711","15:23:01.70,15:23:01.68","+07:11:41.2,+07:11:41.21,+07:11:41.244","0.066","Ia","4","1",""
"SN2013bo","2013/04/15","","A131729+4244","13:17:29.19,13:17:29.28","+42:44:29.6,+42:44:29.62,+42:44:29.76","0.036","Ia","4","3",""
"CSS150124:114309+192629","2015/01/24","","","11:43:08.87,11:43:08.88","+19:26:28.8,+19:26:28.9,+19:26:28.68","0.06","Ia","4","1",""
"iPTF15asr","2015/05/12","18.61","SDSS J120609.69+580202.2","12:06:09.83,12:06:09.80","+58:02:02.9,+58:02:02.8","0.04681","Ia","4","1",""
"iPTF15lp","2015/02/15","18.21","MCG +09-18-99","11:11:40.55,11:11:40.56","+53:59:06.4,+53:59:06.36,+53:59:06","0.0488","Ia","4","1",""
"LSQ15bxe","2015/12/28","19.96","2MASX J12275331-1706150","12:27:52.380,12:27:52.38,12:27:52.88","-17:06:24.95,-17:06:21.6","0.044","Ia","4","1",""
"PS15dox","2015/12/28","19.73","","02:40:15.04,02:40:15.05","+22:32:12.1,+22:32:12.2","0.08,0.08","Ia","4","1",""
"SN2016dsr","2016/02/23","18.61","","04:54:49.00,04:54:48.100,04:54:49.008","-30:10:07.00,-30:10:07.0,-30:10:06.96","0.077","Ia","4","1",""
"SN2016ggp","2016/09/10","18.26","PGC 395099","20:32:39.47,20:32:39.310,20:32:39.36","-56:58:36.73,-56:58:35.80,-56:58:36.84","0.048,0.048","Ia","4","1",""
"SN2016gkd","2016/09/18","18.93","","02:21:22.27,02:21:22.269,02:21:22.272","-42:20:39.41,-42:20:39.48","0.057,0.057","Ia-91bg","4","1",""
"SN2016gvc","2016/09/30","18.29","2MASX J02152232-0518291","02:15:22.18,02:15:22.180,02:15:22.17,02:15:22.15","-05:18:26.77,-05:18:26.7,-05:18:27.0","0.045,0.045","Ia","4","1",""
"SN2016isg","2016/12/06","16.8","2MASX J01411858-0012382","01:41:18.83,01:41:18.713,01:41:18.72","-00:12:36.07,-00:12:36.88,-00:12:36.8784","0.055457,0.055457","Ia","4","1",""
"SN2016itl","2016/12/03","17.86","","02:13:03.16,02:13:03.163,02:13:03.168","-33:38:06.04,-33:38:06","0.043,0.043","Ia","4","1",""
"SN2017ai","2017/01/04","17.46","2017-01-04.6566313","16:17:02.50,16:17:02.500,16:17:02.64","+10:41:35.10,+10:41:36.24","0.05027,0.05027","Ia","4","1",""
"SN2017lb","2017/01/12","17.9","","10:12:49.86,10:12:49.864,10:12:49.92","-18:06:45.83,-18:06:45.72","0.053,0.053","Ia","4","1",""
"SN2017wb","2017/01/28","16.57","2MASX J11011991+7039548","11:01:19.53,11:01:19.530,11:01:19.44","+70:39:54.76,+70:39:54.72","0.03,0.03","Ia","4","1",""
"SN2017X","2017/01/01","17.89","","06:44:50.32,06:44:50.315,06:44:50.4","-43:54:21.49,-43:54:21.50,-43:54:21.6","0.067,0.067","Ia-91T","4","1",""
"SN2000df","2000/08/17","17.15","CGCG 051-070","16:14:12.22","+06:09:00.6,+06:09:00.61","0.039207","Ia","3","1",""
"SN2002av","2002/02/08","17.7","ESO 489-G7","06:08:06.34","-23:59:13.2,-23:59:13.20","0.049041","Ia","3","6",""
"SN2002br","2002/03/09","17","MCG +03-27-61","10:34:08.92","+19:42:20.5,+19:42:20.48","0.034,0.034","Ia","3","2",""
"SN2002cc","2002/04/04","17.2","SDSS J083402.21+553906.7","08:34:01.97","+55:39:12.4,+55:39:12.38","0.065999","Ia","3","2",""
"SN2002ep","2002/08/06","18.7","2MASX J21572200-0751253","21:57:21.66","-07:51:24.8,-07:51:24.80","0.056059","Ia","3","1",""
"SN2002ey","2002/09/03","17.7","2MASX J23101188+0732541","23:10:12.33","+07:32:59.9,+07:32:59.89","0.038783","Ia","3","5",""
"SN2002gb","2002/08/28","18.9","SDSS J224321.26-000654.5","22:43:21.31,22:43:21.36","-00:06:53.0,-00:06:52.92,-00:06:52.99","0.074001","Ia","3","1",""
"SN2003an","2003/02/09","16.9","MCG +05-32-22","13:27:53.55","+28:30:29.2,+28:30:29.20","0.037039","Ia","3","1",""
"SN2003ay","2003/02/19","19.1","NEAT J040726.40+280748.4","04:07:26.25,04:07:26.258","+28:07:55.4,+28:07:55.42,+28:07:55.49","0.073001","Ia","3","1",""
"SN2003S","2003/01/24","18","MCG +09-22-94","13:41:19.49,13:41:19.44,13:41:19.498","+55:40:36.5,+55:40:36.48,+55:40:36.52,+55:40:36.59","0.039901","Ia","3","2",""
"PS1-13dhi","2013/08/20","19.7","","23:33:55.42,23:33:55.44","+04:31:00.3","0.07","Ia","3","1",""
"SN2012dv","2012/07/18","","A214830-1250","21:48:30.29,21:48:30.24","-12:50:21.3,-12:50:21.30,-12:50:21.12","0.07","Ia","3","1",""
"Gaia15aaq","2015/01/16","18.5","SDSS J134124.97+3545","13:41:24.73,13:41:24.72,13:41:24.97","+35:45:43.3,+35:45:43.2,+35:45:40.62","0.0625","Ia","3","1",""
"PS15dpq","2015/12/28","20.07","","03:09:12.75,03:09:12.74","+27:31:16.9,+27:31:17.0","0.038,0.038","Ia","3","1",""
"SN2016ejc","2016/07/24","18.75","","16:18:18.30,16:18:18.317,16:18:18.24","+42:36:14.90,+42:36:14.91,+42:36:14.76","0.05,0.05","Ia","3","1",""
"SN2016fss","2016/09/01","16.8","","14:02:51.91,14:02:51.912,14:02:51.84","-30:36:59.26,-30:36:59.4","0.037,0.037","Ia","3","1",""
"SN2016gho","2016/09/14","17.06","","04:17:50.46,04:17:50.455,04:17:50.448","-04:47:42.32,-04:47:42.324,-04:47:41.676","0.038,0.038","Ia","3","1",""
"SN2016ghp","2016/09/14","17.49","","04:20:53.44,04:20:53.440,04:20:53.448","-03:09:38.74,-03:09:38.736","0.041,0.041","Ia","3","1",""
"SN2016gom","2016/09/23","18.56","","03:18:13.24,03:18:13.244,03:18:13.248","-50:53:05.32,-50:53:05.28","0.062,0.062","Ia","3","1",""
"SN2016gqb","2016/09/27","17.1","2MASX J05073951-1932539","05:07:39.67,05:07:39.670,05:07:39.48","-19:32:57.20,-19:32:56.04","0.030434,0.030434","Ia","3","1",""
"SN2016gqc","2016/09/27","16.8","2MASX J05080487-4141151","05:08:05.22,05:08:05.220,05:08:05.256","-41:41:13.70,-41:41:11.4","0.044534","Ia","3","1",""
"SN2016guu","2016/09/30","18.31","","23:54:57.93,23:54:57.938,23:54:57.84","-63:27:13.32","0.07,0.07","Ia","3","1",""
"SN2016hsx","2016/11/03","17.15","2MASX J01004149-0026406","01:00:41.44,01:00:41.440,01:00:41.496","-00:26:38.83,-00:26:40.7472","0.043602","Ia","3","1",""
"SN2016iww","2016/12/15","18.58","","11:41:30.85,11:41:30.844,11:41:30.96","-09:33:42.48","0.072,0.072","Ia","3","1",""
"SN2016jfy","2016/12/28","18.3","LEDA 310623","06:39:36.67,06:39:36.667,06:39:36.672","-65:44:16.15,-65:44:16.16,-65:44:16.08","0.034,0.034","Ia","3","1",""
"SN2017jy","2017/01/16","17.57","","04:32:44.43,04:32:44.429,04:32:44.424","-05:53:30.48","0.043,0.043","Ia","3","1",""
"SN2017lc","2017/01/11","18.28","","09:44:25.70,09:44:25.705,09:44:25.68","-18:32:54.02,-18:32:53.88","0.05,0.05","Ia","3","1",""
"SN2017wi","2017/01/29","17.2","GALEXASC J020208.73-175958.3","02:02:08.63,02:02:08.630,02:02:08.616","-17:59:56.40,-17:59:56.4","0.051,0.051","Ia","3","1",""
"SN2000ej","2000/11/02","18","IC 1371","21:20:15.66","-04:52:40.5,-04:52:40.51","0.03036","Ia","2","1",""
"SN2001ec","2001/08/31","17.8","KUG 0209+313A","02:12:00.43","+31:32:43.8,+31:32:43.80","0.045361","Ia","2","4",""
"SN2001eo","2001/10/01","17.3","UGC 3963","07:41:31.10","+51:41:05.4,+51:41:05.39","0.065","Ia","2","1",""
"SN2001es","2001/10/07","18","2MASX J02020834+1905246","02:02:08.27","+19:05:27.5,+19:05:27.49","0.067","Ia","2","3",""
"SN2002bk","2002/02/09","18.5","2MASX J09022690-0917450","09:02:26.67","-09:17:38.7,-09:17:38.69","0.055999","Ia","2","1",""
"SN2002ec","2002/07/23","17.5","NGC 5910","15:19:24.89","+20:53:14.0,+20:53:13.99","0.040882","Ia","2","2",""
"SN2002fi","2002/09/13","18.3","MCG -04-07-10","02:33:54.40","-21:02:29.4,-21:02:29.40","0.05717","Ia","2","1",""
"SN2002gx","2002/10/13","19","NEAT J023144.16+401646.5","02:31:44.69","+40:16:39.5,+40:16:39.50","0.079999","Ia","2","1",""
"SN2003ah","2003/02/08","17","LOTOSS J044309.01+004553.4","04:43:08.54,04:43:08.548","+00:46:00.4,+00:46:00.41,+00:46:00.49","0.033867","Ia","2","1",""
"SN2003au","2003/02/17","19.2","NGC 6095","16:11:11.56,16:11:11.568","+61:15:58.2,+61:15:58.21,+61:15:58.29","0.03084","Ia","2","1",""
"SN2003bf","2003/02/18","17.2","2MASX J08082660+1219571","08:08:26.35,08:08:26.358","+12:19:56.2,+12:19:56.21,+12:19:56.29","0.033583","Ia","2","4",""
"PS1-14lz","2014/02/13","18.83","","04:50:48.61","-14:25:22.8,-14:25:22.9","0.07","Ia","2","2",""
"PS1-14on","2014/02/25","18.48","","13:05:54.26,13:05:54.28","+08:56:55.2,+08:56:56.4","0.07","Ia","2","1",""
"PS1-14ra","2014/03/05","16.58","IC 1044","14:41:28.44","+09:25:58.7","0.03","Ia","2","2",""
"PS1-14rz","2013/12/19","20.12","","10:29:08.33,10:29:08.36","-17:06:50.1,-17:06:50.138,-17:06:50.0","0.053","Ia","2","1",""
"PS1-14wl","2014/03/25","17.28","2MASX J13324055-2036204","13:32:41.28","-20:36:25.2","0.034","Ia","2","1",""
"PS1-14xv","2014/04/23","18.99","SDSS J160220.34+051241.5","16:02:20.35","+05:12:40.2,+05:12:40.3","0.064","Ia","2","1",""
"SN2013bx","2013/04/09","19","A124724+3232","12:47:24.22,14:27:03.31","+32:32:50.0,+32:32:49.99,+34:51:36.3","0.0775,0.166","Ia","2","4",""
"SN2014Q","2014/01/29","19.67","PGC 2557093","08:18:50.20,08:18:50.22","+57:06:02.9,+57:06:02.92,+57:06:02.7","0.046","Ia","2","1",""
"CSS150118:133209+344127","2015/01/17","18.3","SDSS J133209.07+3441","13:32:09.0,13:32:08.93,13:32:08.88,13:32:09.07","+34:41:27,+34:41:27.3,+34:41:25.8,+34:41:27.24,+34:41:28.25","0.05","Ia","2","1",""
"Gaia15agj","2015/06/03","18.49","FGC 0955","03:11:11.500,09:50:59.24,09:50:59.28","+37:58:02.10,+37:58:00.3,+37:58:00.12","0.041","Ia","2","1",""
"SN2016bfc","2016/03/11","18.26","","16:41:09.71","+50:58:20.90,+50:58:20.9","0.05,0.05","Ia","2","1",""
"SN2016csi","2016/06/03","18.67","KUGX 1631+334","16:33:49.47,16:33:49.470","+33:19:43.04","0.033,0.033","Ia","2","1",""
"SN2016cvj","2016/06/07","19.01","","16:32:59.22,16:32:59.220","+31:57:43.27","0.058,0.058","Ia","2","1",""
"SN2016cvm","2016/06/13","17.6","2MASX J18383792+4131473","18:38:37.55,18:38:37.550","+41:31:40.87,+41:31:40.37","0.069","Ia","2","2",""
"SN2016esn","2016/08/07","16.6","AM 0557-522 NED03","05:58:58.79,05:58:58.790,05:58:58.728","-52:26:17.95,-52:26:18.6","0.032022,0.032022","Ia","2","1",""
"SN2016fts","2016/09/05","15.7","IC 1780","02:06:51.16,02:06:51.202,02:06:51.192","+14:43:21.22,+14:43:21.53,+14:43:21.36","0.034757,0.034757","Ia","2","1",""
"SN2016hhd","2016/07/26","18.6","GALEXASC J210909.02-665314.6","21:09:08.37,21:09:08.370","-66:53:24.97","0.056","Ia","2","1",""
"SN2016hhv","2016/10/24","19.08","","23:35:48.48,23:35:48.480","+20:42:31.62","0.062,0.062","Ia","2","1",""
"SN2016hqh","2016/10/24","17.35","","07:57:05.81,07:57:05.810,07:57:05.76","+23:08:55.36,+23:08:55.32","0.054,0.054","Ia","2","1",""
"SN2016ipi","2016/11/27","17.4","2MASX J05482726-2319189","05:48:27.02,05:48:27.020,05:48:27.024","-23:19:25.39,-23:19:25.32","0.046072,0.046072","Ia","2","1",""
"SN2016Z","2016/01/17","17","2MASX J04283087-1739233","04:28:30.83,04:28:30.832,04:28:30.84","-17:39:23.37,-17:39:23.4","0.031078,0.031078,0.031078","Ia","2","1",""
"SN2017acq","2017/02/04","18.81","","05:00:18.53,05:00:18.530","+71:12:09.91","0.065","Ia","2","1",""
"SN2017ad","2017/01/02","16.7","2MASX J14342552-3828081","14:34:26.17,14:34:26.170,14:34:25.92","-38:28:11.50,-38:28:09.84","0.03332,0.03332","Ia","2","1",""
"SN2017hq","2017/01/10","17.4","CGCG 073-079","13:49:24.00,13:49:24.000,13:49:23.76","+08:30:26.50,+08:30:27.612","0.03798,0.03798","Ia","2","1",""
"SN2017le","2017/01/04","16.77","","11:10:27.20,11:10:27.200","+28:41:42.33","0.03,0.03","Ia","2","1",""
"SN1990G","1990/03/19","15","IC 2735","11:21:01.19,11:21:03.9","+34:20:51.4,+34:20:51.6,+34:20:51.0","0.035781","Ia","1","2",""
"SN1991ad","1991/05/13","18.5","A161924+1738","16:19:24.2,16:19:25.3,16:19:24.20","+17:38:46,+17:38:53.0,+17:38:46.0","0.07","Ia","1","1",""
"SN1991am","1991/07/24","19","MCG +06-37-06","16:41:46.12,16:41:50.71,16:41:50.72","+37:44:47.6,+37:44:10.93,+37:44:11.00,+37:44:11.0,+37:44:10.9","0.061219","Ia","1","1",""
"SN1991at","1991/08/19","18","UGC 733","01:10:40.00,01:10:40.9,01:10:40.43","+16:36:30.0,+16:36:31.0,+16:36:24.6","0.041048","Ia","1","1",""
"SN1991ay","1991/09/09","18.5","2MASX J00471896+4032336","00:47:18.98,00:47:18.97","+40:32:28.0,+40:32:27.97,+40:32:27.82,+40:32:27.8","0.050999","Ia","1","1",""
"SN1991bf","1991/11/13","17.5","MCG -05-56-027","23:52:15.36,23:52:15.32,23:52:15.37","-29:26:28.9,-29:26:29.12,-29:26:29.11,-29:26:29.1","0.03009","Ia","1","1",""
"SN1992ac","1992/05/30","17","MCG +10-24-07","16:37:09.4,16:37:10.43","+58:10:01.0,+58:10:04.5","0.052","Ia","1","3",""
"SN1992M","1992/02/25","18","2MASX J07150996+4525556","07:15:09.63,07:15:09.95,07:15:09.6","+45:25:49.7,+45:25:56.59,+45:25:50.0,+45:25:56.6","0.051999","Ia","1","2",""
"SN1993ai","1993/12/10","18","UGC 3483","06:33:13.00,06:33:12.00,06:33:16.58","+51:20:42.0,+51:21:00.0,+51:22:57.2","0.034,0.034,0.034","Ia","1","1",""
"SN1993aj","1993/12/27","17","2MFGC 09481","12:04:21.15","-00:43:13.9,-00:43:13.91","0.0776","Ia","1","3",""
"SN1994ab","1994/09/13","17","MCG -05-50-08","21:16:56.75","-28:19:51.3,-28:19:51.29,-28:19:51.38,-28:19:51.4","0.034601","Ia","1","1",""
"SN1994E","1994/03/05","19","SDSS J113207.01+552138.0","11:32:06.96","+55:21:34.7,+55:21:34.70","0.063871","Ia","1","1",""
"SN1994J","1994/03/05","19","[P94] 095815.51+544427.4","10:01:36.69,10:01:36.72,10:01:36.76","+54:34:56.1,+54:34:56.64,+54:34:56.5,+54:34:56.50","0.055999","Ia","1","1",""
"SN1994X","1994/08/15","18.5","2MASX J00152051-2453337","00:15:20.62,00:17:52.16","-24:53:50.5,-24:37:10.88,-24:37:10.9","0.055598","Ia","1","1",""
"SN1995A","1995/01/02","18","MCG +04-16-06","06:50:04.64,06:50:04.63","+26:22:49.8,+26:22:51.0,+26:22:50.99","0.03161","Ia","1","1",""
"SN1995T","1995/07/25","18","SDSS J222712.66-092941.9","22:27:12.41,22:27:12.48","-09:29:44.4,-09:29:44.52,-09:29:44.41","0.056416","Ia","1","1",""
"SN1996O","1996/03/21","18","MCG +03-41-115","16:05:58.65,16:06:00,16:06:00.00","+18:11:47.6,+18:11:48,+18:12:00.0,+18:11:48.0","0.037249","Ia","1","1",""
"SN1997ct","1997/06/29","17","A140726+7026","14:07:26.88","+70:26:05.9,+70:26:05.89","0.03,0.03","Ia","1","1",""
"SN1997T","1997/01/19","17.5","UGC 6896","11:55:47.46","+80:12:42.6,+80:12:42.59","0.041899","Ia","1","1",""
"SN1998cl","1998/06/03","17","MRK 0261","13:29:59.8,13:29:59.80,13:29:59.84","+75:34:09,+75:34:09.0,+75:34:09.01","0.03045","Ia","1","1",""
"SN1998cs","1998/06/29","17.5","UGC 10432","16:30:39.22","+41:12:54.4,+41:12:54.40","0.03256,0.03256","Ia","1","7",""
"SN1998ex","1998/11/25","18.5","MCG +11-10-16","07:41:42.28,07:41:42.287","+64:44:02.3,+64:44:02.29","0.037,0.037","Ia","1","1",""
"SN1999aq","1999/02/20","18.8","NGSS B093540.48-045523.2","09:38:10.79,09:35:40.48","-05:08:56.2,-05:08:56.18,-04:55:23.2","0.05,0.05,0.05","Ia","1","1",""
"SN1999ax","1999/03/20","18.5","A140357+1551","14:03:57.92","+15:51:09.2,+15:51:09.22","0.05,0.1,0.05","Ia-02cx","1","1",""
"SN1999bt","1999/04/09","17","A171137+7225","17:11:37.77","+72:25:15.5,+72:25:15.49","0.0499","Ia","1","2",""
"SN1999ce","1999/05/16","18.3","A112851+5708","11:28:51.57,11:28:51.6","+57:08:02.5,+57:08:03.84,+57:08:04.0,+57:08:03.98","0.07748","Ia","1","1",""
"SN1999cm","1999/06/05","17.1","UGC 9766","15:11:19.18","+61:07:11.4,+61:07:11.39","0.045,0.045","Ia","1","2",""
"SN1999gf","1999/11/27","17.5","UGC 5515","10:13:37.00","-00:56:09.6,-00:56:09.60","0.044341","Ia","1","1",""
"SN1999gm","1999/12/15","18.5","2MASX J08351095-0823132","08:35:11.73","-08:23:15.4,-08:23:15.40","0.042383","Ia","1","5",""
"SN2000dl","2000/09/11","18","UGC 1191","01:42:05.77","+07:39:58.2,+07:39:58.21","0.061,0.061","Ia","1","1",""
"SN2001ew","2001/10/09","17","2MASX J03125120+4122342","03:13:07.46,03:13:06.98,03:13:07.4","+42:26:14.9,+42:26:15.1,+42:26:15.11,+42:26:16","0.031","Ia","1","1",""
"SN2001fg","2001/10/15","17.9","SDSS J211245.44-005232.2","21:12:45.23,21:12:45.12","-00:52:36.2,-00:52:36.12,-00:52:36.19","0.03164","Ia","1","1",""
"SN2002bg","2002/02/23","16.9","MCG +02-38-31","14:59:39.23","+13:12:44.5,+13:12:44.50","0.04274","Ia","1","2",""
"SN2002bt","2002/03/25","17.9","UGC 8584","13:36:13.20","-01:02:19.8,-01:02:19.79","0.06","Ia","1","1",""
"SN2002di","2002/06/09","17.6","MCG +05-40-02","16:52:23.30","+30:42:40.0,+30:42:40.00","0.036389","Ia","1","2",""
"SN2003dw","2003/04/26","16.4","MCG +10-24-51","16:45:51.10,16:45:51.108","+59:37:38.0,+59:37:37.99,+59:37:38.09","0.03003","Ia","1","1",""
"SN2003ek","2003/05/20","18.2","FGC 2126","17:18:32.50,17:18:32.508","+41:40:00.8,+41:40:00.80,+41:40:00.89","0.036038","Ia","1","12",""
"SN2003ez","2003/06/03","17.5","PGC 42782","12:43:11.87,12:43:11.76,12:43:11.878","-02:30:04.1,-02:30:03.96,-02:30:04.10,-02:30:04.19","0.048,0.048","Ia","1","2",""
"SN2003fd","2003/06/09","17.4","UGC 8670","13:41:43.70,13:41:43.708","+40:52:38.5,+40:52:38.50,+40:52:38.59","0.060222","Ia","1","11",""
"SN2003ge","2003/06/21","17.8","NGC 6122","16:20:08.75,16:20:08.758","+37:47:53.7,+37:47:53.70,+37:47:53.79","0.033","Ia","1","2",""
"SN2003gj","2003/06/30","17.6","NGC 7017","21:07:19.18,21:07:19.188","-25:29:23.6,-25:29:23.60,-25:29:23.69","0.03375","Ia","1","2",""
"SN2003hj","2003/08/19","17.9","MCG +05-36-28","15:24:20.51,15:24:20.518","+29:57:11.9,+29:57:11.92,+29:57:11.99","0.075369","Ia","1","1",""
"SN2003hs","2003/08/31","18.6","UGC 11149","18:11:10.93,18:11:10.638","+49:52:08.9,+49:52:08.90,+49:52:08.99","0.054221","Ia","1","1",""
"SN2003hw","2003/09/08","18.3","2MASX J03014982+3544343","03:01:50.02,03:01:50.028","+35:44:36.4,+35:44:36.38,+35:44:36.49","0.0423","Ia","1","4",""
"SN2003ia","2003/09/15","17.3","NGC 6109","16:17:41.17","+35:00:07.2,+35:00:07.20","0.03","Ia","1","3",""
"SN2003iu","2003/10/16","16.4","UGC 1393","01:55:24.55","+21:17:06.4,+21:17:06.40","0.041,0.041","Ia","1","14",""
"SN2003iz","2003/10/21","17.7","UGC 638","01:02:06.75","+26:56:21.3,+26:56:21.30","0.04821","Ia","1","2",""
