"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","Radio"
"CSS130930:013836-192936","2013/09/26","","","01:38:36.50,01:38:36.49,01:38:36.504","-19:29:35.7,-19:29:35.88","0.071","Ia","12","1",""
"PS1-14rx","2014/03/09","19.45","SDSS J124653.32+144748.4","12:46:53.35,12:46:53.34","+14:47:50.1,+14:47:50.0","0.06","Ia","12","1",""
"SN2012ac","2012/02/11","","A033433+1804","03:34:33.42,03:34:33.408","+18:04:40.3,+18:04:40.30,+18:04:40.44","0.08","Ia","12","1",""
"CSS150120:114305+375219","2015/01/20","18.57","","11:43:05.16,11:43:05.12,11:43:05.04","+37:52:18.5,+37:52:18.9,+37:52:18.48,+37:52:18.84","0.08","Ia","12","1",""
"LSQ15im","2015/01/20","18.83","","09:25:51.37,09:25:51.35","+16:17:27.3,+16:17:26.5","0.077","Ia","12","1",""
"PS15crp","2015/10/29","17.31","APMUKS(BJ) B011956.55-140313.6","01:22:24.74","-13:47:35.0","0.047","Ia","12","1",""
"PS15cym","2015/11/27","17.68","GALEXASC J011024.12","01:10:24.12","+23:21:26.7","0.046","Ia","12","1",""
"SN2016blm","2016/03/24","17.26","","15:48:38.72,15:48:38.74","-03:19:03.70,-03:19:03.7,-03:19:03.6","0.03,0.03","Ia","12","2",""
"SN2016ccs","2016/05/09","18","SDSS J144519.89+035017.5","14:45:20.10,14:45:20.100,14:45:19.92","+03:50:16.00,+03:50:15.4","0.062,0.062,0.062","Ia","12","1",""
"SN2016eja","2016/07/26","16.8","2MASX J22253147+3859010","22:25:31.76,22:25:31.760,22:25:31.68","+38:59:03.50,+38:59:03.48","0.03,0.04,0.03","Ia","12","1",""
"SN2016gkt","2016/09/21","17.59","ESO 472-G13","23:59:26.19,23:59:26.190,23:59:26.18","-24:25:26.73,-24:25:26.7","0.051,0.051","Ia","12","1",""
"SN2016zc","2016/01/31","16.5","SDSS J140557.36+435257.2","14:05:57.10,14:05:57.12","+43:53:02.20,+43:53:02.2,+43:53:02.04","0.033749,0.033749","Ia-91T","12","1",""
"SN2007fq","2007/07/14","17.4","MCG -04-48-019","20:34:55.80,20:34:55.742","-23:06:15.8,-23:06:15.38,-23:06:15.80","0.042456","Ia-91bg","11","1",""
"PS1-13dom","2013/10/20","17.59","2MASX J02404928-2302496","02:40:49.25","-23:02:50.0,-23:02:50.5","0.06","Ia","11","1",""
"SN2013ew","2013/08/13","18.05","A221009+1116","22:10:09.69,22:10:09.67","+11:16:47.9,+11:16:47.89,+11:16:48.0","0.056","Ia-91T","11","16",""
"ASASSN-15bk","2015/01/12","17.71","CGCG 078-056","15:44:12.430,15:44:12.43,15:44:12.48,15:44:12.38,15:44:12.45","+11:16:16.38,+11:16:16.4,+11:16:16.32,+11:16:17.27","0.034277","Ia","11","1",""
"SN2016bew","2016/03/04","18.28","2MASX J14201699-2211186","14:20:18.06,14:20:18.05","-22:11:20.62,-22:11:20.6,-22:11:20.4","0.054,0.054","Ia","11","1",""
"SN2016eia","2016/07/18","17.54","2MASX J03343824+1334541","03:34:38.50,03:34:38.493,03:34:38.496","+13:34:49.90,+13:34:49.87,+13:34:49.8,+13:34:50.0","0.0337,0.0337","Ia-91T","11","1",""
"SN2016hnv","2016/10/24","17.75","","02:01:30.47,02:01:30.451,02:01:30.46,02:01:30.456","+14:15:34.14,+14:15:33.73,+14:15:34.1,+14:15:33.84","0.048,0.048","Ia","11","1",""
"SN2016ifk","2016/11/16","17.65","","02:47:33.24,02:47:33.235","-26:29:21.98,-26:29:21.99,-26:29:21.84","0.058,0.058","Ia","11","1",""
"SN2001ic","2001/12/07","17.4","NGC 7503","23:10:43.34","+07:34:10.4,+07:34:10.42","0.044241,0.044237","Ia","10","4",""
"SN2002ar","2002/02/03","16.5","NGC 3746","11:37:43.92","+22:00:34.4,+22:00:34.42","0.03009","Ia","10","7",""
"CSS140309:103126-155700","2014/03/09","","","10:31:25.62,10:31:25.68","-15:57:00.2,-15:57:00.36","0.07,0.03","Ia","10","1",""
"PS15jz","2015/03/03","17.67","UGC 5814","10:42:43.24","+77:29:27.2","0.036","Ia","10","1",""
"SN2016adq","2016/02/09","16.2","CGCG 336-041","14:06:44.37,14:06:44.4","+71:53:15.25,+71:53:15.3,+71:53:17.52,+71:53:15.36","0.034194,0.034194,0.034194","Ia","10","1",""
"SN2016cvz","2016/05/13","20.91","","16:25:20.79,16:25:20.82,16:25:20.88","+57:44:15.87,+57:44:15.2,+57:44:15","0.074,0.074","Ia","10","1",""
"SN2016cyv","2016/07/05","16.94","CGCG 503-021","01:46:52.11,01:46:52.110,01:46:52.08,01:46:52.104","+33:23:21.57,+33:23:21.84,+33:23:21.7,+33:23:21.48","0.037326,0.037326","Ia","10","1",""
"SN2016emr","2016/07/30","16.62","","05:59:58.10,05:59:58.062,05:59:58.056","-18:05:22.30,-18:05:22.27,-18:05:22.2","0.03,0.03","Ia","10","1",""
"SN2016gcr","2016/09/07","18.81","2MASX J22321713-2342106","22:32:17.21,22:32:17.210,22:32:17.20","-23:42:09.04,-23:42:09.0","0.065,0.065","Ia","10","1",""
"SN2017nw","2017/01/23","18.32","","11:16:12.61,11:16:12.610,11:16:12.65","+02:48:29.13,+02:48:29.1","0.077,0.077","Ia","10","1",""
"PTF09dlc","2009/08/17","18.81","","21:46:30,21:46:30.02,21:46:30.103","+06:25:06.888,+06:25:07.3,+06:25:09.2","0.06737","Ia","9","6",""
"SN2006cf","2006/05/11","17.17","UGC 6015","10:54:02.58","+46:01:36.3,+46:01:36.30","0.0422998,0.0430943","Ia","9","10",""
